user id,age,gender,occupation,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,24,M,technician,1,75,42,12,25,91,25,5,107,2,1,13,13,5,44,43,52,25,6
2,53,F,other,0,10,3,1,4,16,9,0,35,1,2,2,1,4,16,4,12,3,0
3,23,M,writer,0,14,4,0,0,12,10,1,22,0,2,5,2,11,5,8,21,5,0
4,24,M,technician,0,8,4,0,0,4,4,1,6,0,0,1,1,5,3,6,11,2,0
5,33,F,other,1,56,33,14,29,82,9,0,27,2,1,28,12,3,19,33,19,14,2
6,42,M,executive,0,25,22,10,20,66,14,1,104,3,6,4,13,12,41,13,24,21,5
7,57,M,administrator,0,95,58,13,36,88,32,5,146,7,11,47,26,21,56,48,77,41,18
8,36,M,administrator,0,39,17,0,3,10,9,0,17,0,1,1,0,1,7,17,18,11,3
9,29,M,student,0,4,3,0,0,6,0,0,11,0,1,1,0,1,8,4,5,5,0
10,53,M,lawyer,0,25,14,7,8,47,16,3,81,1,9,6,14,15,36,12,34,20,5
11,39,F,other,0,33,16,0,6,74,14,0,82,2,1,5,1,12,42,23,33,18,5
12,28,F,other,0,14,7,1,3,13,2,0,24,0,0,1,3,3,13,7,12,7,2
13,47,M,educator,0,156,73,16,52,188,45,13,218,12,14,75,31,33,105,65,121,41,13
14,45,M,scientist,0,18,14,6,6,35,6,2,39,1,3,1,5,6,21,13,13,10,1
15,49,F,educator,0,22,12,2,7,28,6,0,48,3,2,2,2,7,25,12,25,10,0
16,21,M,entertainment,0,30,12,8,11,39,19,0,56,1,6,9,10,8,27,16,34,13,3
17,30,M,programmer,0,4,4,1,3,8,2,0,17,0,0,0,0,0,5,3,4,4,0
18,35,F,other,0,25,18,12,19,102,12,4,141,4,4,5,24,9,68,15,23,27,4
19,40,M,librarian,0,5,3,0,1,12,0,0,11,0,0,2,1,0,5,1,2,1,1
20,42,F,homemaker,0,19,13,4,8,14,2,0,13,2,0,2,4,1,8,10,13,8,0
21,26,M,writer,0,39,16,9,12,32,15,1,47,2,2,61,7,9,15,23,66,6,0
22,25,M,writer,0,66,35,0,8,72,8,0,16,1,1,5,4,3,19,25,23,15,4
23,30,F,artist,0,39,28,11,15,50,7,1,54,2,2,5,16,5,34,30,21,13,4
24,21,F,artist,0,8,8,1,5,20,8,0,37,0,0,2,3,2,16,6,15,5,1
25,39,M,engineer,0,20,15,9,11,26,2,0,25,1,1,2,6,2,12,17,15,9,1
